SN 98bu                                                                        
File /local1/wpsm/98bu/season2/2006_98bu_update/98bu_ij_27jan99_scaled, June 1s
                       402
  0.829483807  7.99021664E-17
  0.830729485  7.87265839E-17
  0.831975162  5.92207386E-17
  0.83322084  8.03616421E-17
  0.834466517  9.07062238E-17
  0.835712194  1.79326444E-16
  0.836957872  1.72540132E-17
  0.838203549  7.74065095E-17
  0.839449227  2.5087173E-16
  0.840694904  9.8357307E-17
  0.841940582  2.71403931E-17
  0.843186259  1.52100714E-17
  0.844431937 -3.47577191E-17
  0.845677614 -6.46895407E-17
  0.846923292  2.34822084E-17
  0.848168969  1.48375529E-16
  0.849414647  2.41389302E-17
  0.850660324  4.53909968E-17
  0.851906002  1.13115811E-16
  0.853151679  2.86095635E-17
  0.854397357  5.35710355E-17
  0.855643034  8.55475285E-17
  0.856888711  2.59584529E-17
  0.858134389  1.01508091E-16
  0.859380066  2.03812088E-16
  0.860625744  1.18041479E-16
  0.861871362  1.32678076E-16
  0.863117039  2.37510341E-16
  0.864362717  1.94406846E-16
  0.865608394  1.77038131E-16
  0.866854072  8.3395092E-17
  0.868099749  1.24838535E-16
  0.869345427  1.08959936E-16
  0.870591104  1.30744737E-16
  0.871836782  7.00886213E-17
  0.873082459 -4.00875349E-17
  0.874328136  1.35652882E-16
  0.875573814  5.07626084E-17
  0.876819491  2.25846794E-17
  0.878065169  1.22094664E-16
  0.879310846  1.30217525E-16
  0.880556524  1.07685297E-16
  0.881802201  8.62622192E-17
  0.883047879  1.31601259E-16
  0.884293556  1.62705474E-16
  0.885539234  1.05778566E-16
  0.886784911  1.26574807E-16
  0.888030589  1.92773039E-16
  0.889276266  1.61616904E-16
  0.890521944  8.70601705E-17
  0.891767621  1.10734238E-16
  0.893013299  6.45753765E-17
  0.894258976  7.17068844E-17
  0.895504653  4.76946154E-17
  0.896750331  1.08563187E-16
  0.897996008  1.76567777E-16
  0.899241686  1.20817669E-16
  0.900487363  2.61655211E-17
  0.901733041  1.65693329E-16
  0.902978718  1.91841978E-16
  0.904224396  9.814001E-17
  0.905470073  6.42082142E-17
  0.906715751  1.73475431E-16
  0.907961428  1.23269631E-16
  0.909207106  8.36173853E-17
  0.910452783 -7.98741283E-17
  0.911698461  1.19237476E-16
  0.912944138  1.95812825E-17
  0.914189816  7.18674369E-17
  0.915435493  1.21022638E-16
  0.91668117  2.94430307E-17
  0.917926848  1.15070776E-16
  0.919172525  1.67325641E-16
  0.920418203  1.3125289E-16
  0.92166388  1.23632413E-16
  0.922909558  1.38798961E-16
  0.924155176  1.1585092E-16
  0.925400853  1.48000532E-16
  0.926646531  2.47541938E-16
  0.927892208  3.49005579E-16
  0.929137886  2.6546092E-16
  0.930383563  2.64072342E-16
  0.931629241  1.98270005E-16
  0.932874918  2.4701916E-16
  0.934120595  2.50247599E-16
  0.935366273  2.37500124E-16
  0.93661195  2.21600283E-16
  0.937857628  2.18033097E-16
  0.939103305  1.76665807E-16
  0.940348983  1.78975203E-16
  0.94159466  1.70150681E-16
  0.942840338  2.39550976E-16
  0.944086015  1.8045182E-16
  0.945331693  1.78139976E-16
  0.94657737  1.69210091E-16
  0.947823048  1.48120043E-16
  0.949068725  2.93388655E-16
  0.950314403  2.87775288E-16
  0.95156008  1.24711837E-16
  0.952805758  1.27861265E-16
  0.954051435  2.18817131E-17
  0.955297112  4.62382216E-17
  0.95654279  8.40762256E-17
  0.957788467  1.50453685E-16
  0.959034145  1.26679111E-16
  0.960279822  1.08722668E-16
  0.9615255  1.71454834E-16
  0.962771177  9.7547656E-17
  0.964016855  1.89762922E-16
  0.965262532  1.38112494E-16
  0.96650821  8.02803865E-17
  0.967753887  1.71655674E-16
  0.968999565  1.0405273E-16
  0.970245242  1.00610997E-16
