98BU                                                                           
File /local1/wpsm/98bu/season2/april/j_reduc_june06/98bu_j_5apr99_optnewscaled,
                       128
  1.01199996  2.91672023E-17
  1.01451182  5.53203339E-17
  1.01702356  4.26176455E-17
  1.01953542  5.29103333E-17
  1.02204716  2.55939542E-17
  1.02455902  1.73356178E-17
  1.02707088 -1.03823277E-17
  1.02958262  1.64517456E-17
  1.03209448  2.41591333E-17
  1.03460622  2.63784953E-17
  1.03711808  7.70969471E-18
  1.03962994  2.32223794E-17
  1.04214168 -1.36161198E-18
  1.04465353 -2.12887934E-17
  1.04716527  7.30506525E-18
  1.04967713  2.60264985E-17
  1.05218899 -6.04430965E-18
  1.05470073  6.72867091E-18
  1.05721259  9.53850668E-18
  1.05972433  9.44570776E-18
  1.06223619 -1.43901071E-17
  1.06474805  1.58014244E-17
  1.06725979  3.98280889E-18
  1.06977165 -9.78670718E-18
  1.07228339  1.61526867E-17
  1.07479525  1.21179354E-17
  1.07730711 -9.91981543E-18
  1.07981884  1.78591901E-17
  1.0823307  8.87717578E-18
  1.08484244 -6.20872131E-18
  1.0873543  4.19636454E-19
  1.08986616 -3.23463486E-17
  1.0923779 -3.55826506E-18
  1.09488976  2.74519945E-18
  1.0974015 -1.76253908E-18
  1.09991336 -1.36676798E-17
  1.10242522  5.46393999E-19
  1.10493696  4.52608871E-18
  1.10744882  1.01268563E-17
  1.10996056  1.42953089E-17
  1.11247241 -5.32876699E-18
  1.11498427  1.22186529E-18
  1.11749601  1.3429847E-18
  1.12000787  2.12240814E-17
  1.12251961 -1.07520948E-18
  1.12503147  1.61383864E-17
  1.12754333  2.83859071E-17
  1.13005507  1.34099014E-17
  1.13256693  1.25051709E-17
  1.13507867 -1.44389081E-18
  1.13759053  1.31823448E-17
  1.14010239 -2.46612133E-18
  1.14261413  1.27181062E-17
  1.14512599  8.5319139E-18
  1.14763772  2.25911909E-17
  1.15014958  6.96953433E-18
  1.15266144 -3.35259404E-18
  1.15517318  8.53703828E-18
  1.15768504  1.11521102E-17
  1.16019678 -2.92656687E-18
  1.16270864 -5.30096679E-19
  1.1652205  7.90188847E-18
  1.16773224  6.93881491E-18
  1.1702441  6.19536307E-20
  1.17275584  6.24299637E-18
  1.1752677  1.0722824E-18
  1.17777944 -2.38208557E-18
  1.1802913 -6.08622207E-18
  1.18280315 -2.386633E-18
  1.18531489  5.23134993E-18
  1.18782675 -6.24373214E-18
  1.19033849  8.93049501E-18
  1.19285035 -3.89061894E-19
  1.19536221  1.30775129E-17
  1.19787395 -9.81661472E-18
  1.20038581  8.12348437E-18
  1.20289755  2.01001973E-18
  1.20540941  3.45027125E-18
  1.20792127 -1.69905659E-18
  1.21043301  1.68023477E-17
  1.21294487  6.7990826E-18
  1.2154566  2.24846368E-17
  1.21796846 -2.64034046E-18
  1.22048032 -8.20657714E-18
  1.22299206 -1.49525552E-18
  1.22550392  2.94640866E-18
  1.22801566  4.10783021E-18
  1.23052752  2.2310244E-18
  1.23303938  2.01549488E-17
  1.23555112  9.73104785E-18
  1.23806298  3.4399434E-17
  1.24057472  2.04961674E-17
  1.24308658  3.22477222E-17
  1.24559844  3.9062003E-17
  1.24811018  4.82243352E-17
  1.25062203  5.73427607E-17
  1.25313377  5.69880524E-17
  1.25564563  4.90618258E-17
  1.25815749  5.41200816E-17
  1.26066923  5.46867632E-17
  1.26318109  5.76098408E-17
  1.26569283  4.90981424E-17
  1.26820469  5.46125386E-17
  1.27071655  3.13681811E-17
  1.27322829  4.21363686E-17
  1.27574015  3.48606336E-17
  1.27825189  2.15558635E-17
  1.28076375  2.17720174E-17
  1.2832756  1.97678944E-17
  1.28578734  4.95990854E-18
  1.2882992  3.06185106E-17
  1.29081094  3.01221592E-17
  1.2933228  2.21360298E-17
  1.29583466  3.05392898E-17
  1.2983464  7.88600909E-18
  1.30085826  1.75058351E-17
  1.30337  9.19836753E-18
  1.30588186  3.79298707E-17
  1.30839372  2.94644646E-17
  1.31090546  2.56313973E-17
  1.31341732  1.95890332E-17
  1.31592906  2.85532292E-17
  1.31844091  2.42696678E-17
  1.32095277  3.13311631E-17
  1.32346451  1.73148672E-17
  1.32597637  3.18177934E-17
  1.32848811  9.67655237E-18
  1.33099997  1.25911572E-17
